genome,dmdA,dddP,dddL,dddD,dddQ,dddW
Oarcticus238,2152035..2153135,x,x,x,x,x
Rmobilis,1317577..1318692,x,x,x,x,x
Rpomeroyi,2033982..2035076,2436993..2438174,x,1814967..1817447,1691492..1692097,464016..464474
Dshibae,2452182..2453288,x,x,x,x,x
Oantarcticus307,3221713..3222813,x,x,x,x,x
